name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,38321,6050329715,,,,,service,0,120.6374047,31.269409,,,
,38322,6050329716,,,,,service,1,120.6376504,31.2694165,,,
,38323,6050329717,,,,,service,0,120.6374401,31.2691835,,,
,38324,6050329718,,,,,service,1,120.637689,31.2691889,,,
,38325,6050329719,,,,,service,1,120.6377195,31.2689925,,,
,38326,6050329720,,,,,service,0,120.6374006,31.2694448,,,
,38327,6050329722,,,,,service,1,120.6359144,31.2694373,,,
,38328,6050329723,,,,,service,1,120.6361014,31.2692132,,,
,38329,6050329724,,,,,service,0,120.637436,31.2692091,,,
,38330,6050329725,,,,,service,1,120.6363204,31.2689041,,,
,38331,6050329727,,,,,service,1,120.6380075,31.2680687,,,
,38332,6050329728,,,,,tertiary,0,120.6388763,31.2681409,,,
,38333,6050329729,,,,,service,1,120.6380502,31.2678498,,,
,38334,6050329730,,,,,tertiary,0,120.6389008,31.2679329,,,
,38335,6050329731,,,,,service,1,120.6381965,31.2676083,,,
,38336,6050329732,,,,,tertiary,0,120.6389306,31.267679,,,
,38337,6050329733,,,,,service,0,120.638601,31.2668183,,,
,38338,6050329734,,,,,service,1,120.6385726,31.2671259,,,
,38339,6050329735,,,,,service,0,120.6386498,31.2663909,,,
,38340,6050329739,,,,,service,0,120.6386803,31.2659061,,,
